TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
96,79,Dina,Orch.,$972,-77.0%,3,-5,$324,"$90,406",-,7
97,92,The King's Choice,Gold.,$788,-69.0%,4,-,$197,"$113,231",-,9
98,118,Frank Serpico,IFC,$688,+111.7%,6,+4,$115,"$7,489",-,3
99,-,The Fencer,CFI,$672,-,2,-,$336,"$91,220",-,16
100,110,Ribbons,Indic.,$646,+7.0%,1,-,$646,"$27,861",-,9
101,99,Lost in Paris,Osci.,$642,-47.5%,1,-,$642,"$687,696",-,23
102,96,Man from Outerspace,Indic.,$577,-64.0%,1,-,$577,"$19,775",-,11
103,-,Thirst Street,Gold.,$519,-,2,-,$260,"$8,953",-,7
104,117,The Teacher,FM,$406,+18.7%,1,-,$406,"$63,647",-,12
105,113,Paradise (2017),FM,$381,-17.5%,1,-,$381,"$14,168",-,7
106,111,Friend Request,ENTMP,$357,-30.7%,2,-,$179,"$3,758,792",$9.9,9
107,66,Intent to Destroy,Abr.,$352,-96.0%,1,-2,$352,"$13,194",-,2
108,105,Bad Lucky Goat,FM,$281,-67.5%,2,-,$141,"$3,350",-,6
109,94,Chavela,MBox,$277,-84.5%,2,-1,$139,"$132,599",-,7
110,-,Kills on Wheels,KL,$188,-,1,-,$188,"$15,856",-,5
111,-,Machines,KL,$84,-,1,-,$84,"$9,710",-,15
