TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
87,115,Rat Film,CGld,"$2,982",+317.6%,2,+1,"$1,491","$31,521",-,7
88,83,Dealt,IFC,"$2,952",-31.2%,3,+2,$984,"$8,417",-,2
89,105,Tulip Fever,Wein.,"$2,609",+125.7%,17,+11,$153,"$2,413,408",-,9
90,-,Score: A Film Music Documentary,Grav.,"$2,597",-,1,-,"$2,597","$97,891",-,11
91,78,So B. It,Good Deed,"$2,554",-54.4%,3,-10,$851,"$46,006",-,4
92,67,RV: Resurrected Victims,WGUSA,"$2,511",-76.3%,4,-7,$628,"$19,276",-,2
93,-,Nocturama,Ghop,"$2,452",-,3,-,$817,"$25,932",-,7
94,82,True to the Game,Faith Media,"$2,289",-49.9%,2,-1,"$1,145","$1,230,796",-,8
95,91,Una,EF,"$2,224",-16.6%,7,+1,$318,"$22,815",-,4
96,N,Brimstone and Glory,Osci.,"$2,125",-,1,-,"$2,125","$2,125",-,1
97,-,Bronx Gothic,Ghop,"$1,972",-,4,-,$493,"$25,429",-,11
98,N,Felicite,Strand,"$1,713",-,1,-,"$1,713","$1,713",-,1
99,-,Good Time,A24,"$1,505",-,1,-,"$1,505","$2,018,609",-,12
100,116,Hubble 3D,WB,"$1,481",+122.0%,5,+3,$296,"$51,894,285",-,398
101,-,Spettacolo,Ghop,"$1,466",-,3,-,$489,"$18,320",-,7
102,102,Under the Sea 3D,WB,"$1,448",+5.6%,2,-1,$724,"$35,637,240",-,455
103,-,Escapes,Ghop,"$1,355",-,2,-,$678,"$15,371",-,8
104,121,The Teacher,FM,"$1,245",+111.7%,2,+1,$623,"$61,916",-,9
105,99,Man from Outerspace,Indic.,"$1,233",-29.3%,2,-,$617,"$14,941",-,8
106,93,Bending the Arc,Abr.,"$1,222",-52.3%,2,-1,$611,"$20,163",-,4
107,72,Rumble: The Indians Who Rocked The World,KL,"$1,181",-83.9%,2,-5,$591,"$213,122",-,24
108,111,Marjorie Prime,FR,"$1,135",+20.2%,1,-,"$1,135","$179,165",-,11
109,90,Inseparables,FM,"$1,087",-60.9%,1,-,"$1,087","$4,648",-,3
110,80,The Sacrifice (2017 re-release),KL,"$1,065",-77.3%,1,-,"$1,065","$11,741",-,2
112,123,Paradise Club,Indic.,$987,+88.0%,1,-1,$987,"$18,297",-,8
111,122,The Unknown Girl,IFC,$987,+74.7%,4,-,$247,"$149,787",-,8
113,101,The Boss Baby,Fox,$838,-47.6%,2,-,$419,"$175,002,499",-,31
114,N,Amityville: The Awakening,W/Dim.,$742,-,10,-,$74,$742,-,1
115,110,Ribbons,Indic.,$605,-42.1%,1,-1,$605,"$24,321",-,6
116,103,Journey to the South Pacific,Imax,$571,-56.8%,1,-1,$571,"$7,609,158",-,205
117,79,Maudie,SPC,$550,-89.1%,2,-5,$275,"$6,168,063",-,29
