TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
95,97,To the Arctic (IMAX),WB,"$1,644",+17.7%,2,-,$822,"$14,422,025",-,189
96,102,River of Fundament,ICir,"$1,530",+37.0%,1,-,"$1,530","$30,728",-,16
97,N,Take Me to the River (2016),FM,"$1,509",-,1,-,"$1,509","$1,509",-,1
98,84,"Rabin, the Last Day",KL,"$1,502",-49.4%,3,-2,$501,"$25,668",-,8
99,N,Burning Bodhi,Mont.,"$1,474",-,5,-,$295,"$1,474",-,1
100,86,River of Grass,Osci.,"$1,326",-54.9%,1,-,"$1,326","$6,449",-,2
101,82,Lolo,FR,"$1,309",-69.1%,1,-,"$1,309","$7,000",-,2
103,N,Mad Tiger,FM,"$1,119",-,1,-,"$1,119","$1,119",-,1
102,83,Talent Has Hunger,FRun,"$1,119",-69.8%,1,-,"$1,119","$5,758",-,2
104,107,Deep Sea 3D (IMAX),WB,"$1,093",+20.9%,4,+3,$273,"$46,175,168",-,490
105,-,Heart of a Dog,Abr.,"$1,074",-,2,-,$537,"$418,033",-,22
106,-,Remember (Canada Release),EOne,"$1,065",-,4,-,$266,"$544,152",-,23
107,78,King Georges,IFC,"$1,007",-83.3%,10,+4,$101,"$48,658",-,4
108,101,Aferim!,BWP,$998,-14.1%,2,-2,$499,"$87,309",-,9
109,-,Journey to the South Pacific,Imax,$950,-,2,-,$475,"$7,114,460",-,107
110,106,Theeb,FM,$825,-18.2%,2,-,$413,"$276,327",-,20
111,89,Of Mind and Music,Mont.,$453,-82.8%,2,-1,$227,"$9,097",-,6
112,-,Dreams Rewired,Icar.,$449,-,1,-,$449,"$11,327",-,19
113,94,Hot Water,Indic.,$412,-72.8%,1,-1,$412,"$2,660",-,2
114,-,On War,Indic.,$368,-,1,-,$368,"$4,911",-,8
115,91,Automatic Hate,FM,$312,-86.7%,1,-,$312,"$4,233",-,2
116,88,Ingrid Bergman: In Her Own Words,Rialto,$272,-90.3%,1,-4,$272,"$127,529",-,19
117,104,Jafar Panahi's Taxi,KL,$243,-77.9%,1,-,$243,"$320,417",-,25
118,105,In the Shadow of Women,Distrib.,$192,-82.0%,1,-1,$192,"$49,322",-,10
119,110,Troublemakers: The Story of Land Art,FRun,$88,-21.4%,1,-1,$88,"$28,140",-,11
120,80,Like for Likes,CJ,$63,-98.6%,1,-1,$63,"$50,839",-,4
